season,new,returning,anon,% new,% returning,Unique Newly Registered Users,Unique Returning Registered Users,Unique Anonymous Visitors (by IP),Total Distinct Users This Season (including Anonymous IPs),Total Registered Users To Date,Active Registered Users This Season,group_id
1,45106,0,318215,100.0%,0.0%,12.4%,0.0%,87.6%," 363,321 "," 45,106 "," 45,106 ",50c6197ea2fc8e1110000001
2,1,14135,288164,0.0%,100.0%,0.0%,4.7%,95.3%," 302,300 "," 45,107 "," 14,136 ",50c61e51a2fc8e1110000002
3,0,12797,209020,0.0%,100.0%,0.0%,5.8%,94.2%," 221,817 "," 45,107 "," 12,797 ",50c62517a2fc8e1110000003
4,2,8763,209386,0.0%,100.0%,0.0%,4.0%,96.0%," 218,151 "," 45,109 "," 8,765 ",50e477293ae740a45f000001
5,5,9575,204566,0.1%,99.9%,0.0%,4.5%,95.5%," 214,146 "," 45,114 "," 9,580 ",51ad041f3ae7401ecc000001
6,0,10210,214587,0.0%,100.0%,0.0%,4.5%,95.5%," 224,797 "," 45,114 "," 10,210 ",51f158983ae74082bb000001
7,5,10261,369271,0.0%,100.0%,0.0%,2.7%,97.3%," 379,537 "," 45,119 "," 10,266 ",5331cce91bccd304b6000001
8,19,11914,740662,0.2%,99.8%,0.0%,1.6%,98.4%," 752,595 "," 45,138 "," 11,933 ",54cfc76387ee0404d5000001
Lost Season,112,1965,70746,5.4%,94.6%,0.2%,2.7%,97.1%," 72,823 "," 45,250 "," 2,077 ",55a3d6cf3ae74036bc000001
9 so far,58,1601,40368,3.5%,96.5%,0.1%,3.8%,96.1%," 42,027 "," 45,308 "," 1,659 ",56a63b3b41479b0042000001
